t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,0.23991158963585435,0.23988970588235295,0.5201987044817927,45696.0
hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypancistrus_sp61759,hypostomus_cf_gymnorhynchus80910,0.7325771951009142,0.12860100051750906,0.13882180438157668,46376.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypostomus_cfhemicochliodon64160,0.7179164795689268,0.1376066457117198,0.1444768747193534,44540.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hypostomus_cfhemicochliodon64160,0.659193899782135,0.1713507625272331,0.1694553376906318,45900.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_cfhemicochliodon64160,0.2466907729063085,0.4388519403370569,0.3144572867566346,61948.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hypostomus_cfhemicochliodon64160,0.2550426515016883,0.4346232450684201,0.3103341034298916,45016.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,0.6442417037113615,0.18228574382301252,0.17347255246562596,38692.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,0.2545768307322929,0.43787515006002403,0.3075480192076831,53312.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,0.2578696343402226,0.4350026497085321,0.3071277159512454,37740.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,0.12265876499853673,0.13215174129353233,0.745189493707931,54672.0
baryancistrus_beggini39227,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,0.12398976982097187,0.1374936061381074,0.7385166240409207,39100.0
hemiancistrus_cerrado66643,hemiancistrus_fuliginosus61299,hemiancistrus_punctulatus60931,hypostomus_cfhemicochliodon64160,0.1171072226358898,0.11384959046909904,0.7690431868950112,53720.0
aphanotorulus_emarginatus19719,baryancistrus_beggini39227,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.16709144663064532,0.6165256397186257,0.21638291365072893,39236.0
aphanotorulus_emarginatus19719,hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.08762099776619509,0.8303983618763962,0.08198064035740879,53720.0
baryancistrus_beggini39227,hemiancistrus_cerrado66643,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.14174908901613742,0.7195991671004685,0.13865174388339407,38420.0
aphanotorulus_emarginatus19719,hemiancistrus_fuliginosus61299,hypancistrus_sp61759,hypostomus_cfhemicochliodon64160,0.10461768350462862,0.798855601720242,0.09652671477512938,54876.0
