"","aphanotorulus_emarginatus19719","hemiancistrus_cerrado66643","hemiancistrus_fuliginosus61299","hypancistrus_sp61759","hypostomus_cf_gymnorhynchus80910","hypostomus_cfhemicochliodon64160","hypostomus_faveolus27640","hypostomus_melanephelis54012","hypostomus_sp50059","hypostomus_sp55539","hypostomus_sp76321","hypostomus_strigaticeps61230","panaqolus_gnomus57729","panaqolus_sp57507","panaqolus_sp61753","peckoltia_braueri69540","peckoltia_compta61756","peckoltia_snethlageae57059","pterygoplichthys_anisitsi26686","scobinancistrus_aureatus61467","spectracanthicus_immaculatus43225","12|34","13|24","14|23","p_T3",""
"32",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,628.333333333333,66.3333333333333,74.3333333333333,0.499865538823111,1.34701258559965e-176
"33",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,451,82,0.206038514393688,3.51272660577754e-90
"34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,513,108,91,0.227881229308333,3.75617463989436e-105
"35",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221,408,176,0.0237644382878387,3.17698194639881e-25
"36",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.333333333333,210.333333333333,357.333333333333,1,8.65850384576325e-13
"37",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.333333333333,260.333333333333,311.333333333333,0.0209165076945282,5.63523019133993e-05
"38",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,273.333333333333,243.333333333333,262.333333333333,0.259660659667273,0.411875294039762
"39",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,211,182,343,0.143324211327454,9.19379002113147e-14
"40",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,609.333333333333,89.3333333333333,97.3333333333333,0.558124367666868,5.07669143982527e-146
"41",1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,235.333333333333,257.333333333333,279.333333333333,0.28507470131763,0.152463658607913
"42",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,203.333333333333,216.333333333333,236.333333333333,0.46950874376345,0.282600931602775
